timestamp,connected_ssid,connected_rssi,network_count,networks_json
2026-01-22T20:45:07.384704,Rk,-37,2,"[{""ssid"": ""Rk"", ""rssi"": -37}, {""ssid"": ""NETGEAR17"", ""rssi"": -40}]"
2026-01-22T20:45:33.747861,Rk,-37,2,"[{""ssid"": ""NETGEAR17"", ""rssi"": -38}, {""ssid"": ""Rk"", ""rssi"": -41}]"
2026-01-22T20:45:33.748869,Rk,-37,2,"[{""ssid"": ""NETGEAR17"", ""rssi"": -33}, {""ssid"": ""Rk"", ""rssi"": -45}]"
2026-01-22T20:45:33.749325,Rk,-37,3,"[{""ssid"": ""Rk"", ""rssi"": -37}, {""ssid"": ""NETGEAR17"", ""rssi"": -41}, {""ssid"": ""NTGR_VMB_1462060836"", ""rssi"": -80}]"
2026-01-22T20:45:44.070766,Rk,-33,2,"[{""ssid"": ""Rk"", ""rssi"": -32}, {""ssid"": ""NETGEAR17"", ""rssi"": -42}]"
2026-01-22T20:46:09.949041,Rk,-33,2,"[{""ssid"": ""Rk"", ""rssi"": -39}, {""ssid"": ""NETGEAR17"", ""rssi"": -43}]"
2026-01-22T20:46:09.950073,Rk,-33,2,"[{""ssid"": ""Rk"", ""rssi"": -32}, {""ssid"": ""NETGEAR17"", ""rssi"": -44}]"
2026-01-22T20:46:09.950525,Rk,-33,3,"[{""ssid"": ""Rk"", ""rssi"": -17}, {""ssid"": ""NETGEAR17"", ""rssi"": -36}, {""ssid"": ""Happy Wifi Happy Lifi"", ""rssi"": -77}]"
2026-01-22T20:46:19.802652,Rk,-34,3,"[{""ssid"": ""NETGEAR17"", ""rssi"": -31}, {""ssid"": ""Rk"", ""rssi"": -33}, {""ssid"": ""Happy Wifi Happy Lifi"", ""rssi"": -77}]"
2026-01-22T20:46:45.171710,Rk,-34,3,"[{""ssid"": ""NETGEAR17"", ""rssi"": -29}, {""ssid"": ""Rk"", ""rssi"": -32}, {""ssid"": ""Happy Wifi Happy Lifi"", ""rssi"": -77}]"
2026-01-22T20:46:45.172431,Rk,-34,2,"[{""ssid"": ""NETGEAR17"", ""rssi"": -29}, {""ssid"": ""Rk"", ""rssi"": -32}]"
2026-01-22T20:46:45.172846,Rk,-34,2,"[{""ssid"": ""Rk"", ""rssi"": -31}, {""ssid"": ""NETGEAR17"", ""rssi"": -32}]"
2026-01-22T20:46:55.430719,Rk,-35,2,"[{""ssid"": ""NETGEAR17"", ""rssi"": -31}, {""ssid"": ""Rk"", ""rssi"": -37}]"
